nLocation = 20;
AreaWidth = 10;
Horizen = 1440;
MaxAirTime = 90;
ChargingTime = 5;
VehicleLocation =  [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 0 0 0 0 0 0 0 0 0 0 0
     0 0 0 0 0 0 0 0];
InitialMissionCompleteTime =  [8 26 71 37 57 76 37 59 11 56 8 51 32 22 8 35 62 71 53 25];
Tasks =  {<"on" 1 1 9 9 0 8>
     <"charge" 1 100 9 9 14 19>
     <"on" 1 2 9 9 8 86>
     <"charge" 1 200 9 9 92 97>
     <"on" 1 3 9 9 86 164>
     <"charge" 1 300 9 9 170 175>
     <"on" 1 4 9 9 164 242>
     <"charge" 1 400 9 9 248 253>
     <"on" 1 5 9 9 242 320>
     <"charge" 1 500 9 9 326 331>
     <"on" 1 6 9 9 320 398>
     <"charge" 1 600 9 9 404 409>
     <"on" 1 7 9 9 398 476>
     <"charge" 1 700 9 9 482 487>
     <"on" 1 8 9 9 476 554>
     <"charge" 1 800 9 9 560 565>
     <"on" 1 9 9 9 554 632>
     <"charge" 1 900 9 9 638 643>
     <"on" 1 10 9 9 632 710>
     <"charge" 1 1000 9 9 716 721>
     <"on" 1 11 9 9 710 788>
     <"charge" 1 1100 9 9 794 799>
     <"on" 1 12 9 9 788 866>
     <"charge" 1 1200 9 9 872 877>
     <"on" 1 13 9 9 866 944>
     <"charge" 1 1300 9 9 950 955>
     <"on" 1 14 9 9 944 1022>
     <"charge" 1 1400 9 9 1028 1033>
     <"on" 1 15 9 9 1022 1100>
     <"charge" 1 1500 9 9 1106 1111>
     <"on" 1 16 9 9 1100 1178>
     <"charge" 1 1600 9 9 1184 1189>
     <"on" 1 17 9 9 1178 1256>
     <"charge" 1 1700 9 9 1262 1267>
     <"on" 1 18 9 9 1256 1334>
     <"charge" 1 1800 9 9 1340 1345>
     <"on" 1 19 9 9 1334 1412>
     <"charge" 1 1900 9 9 1418 1423>
     <"on" 1 20 9 9 1412 1440>
     <"on" 2 1 1 3 0 26>
     <"charge" 2 100 1 3 30 35>
     <"on" 2 2 1 3 26 108>
     <"charge" 2 200 1 3 112 117>
     <"on" 2 3 1 3 108 190>
     <"charge" 2 300 1 3 194 199>
     <"on" 2 4 1 3 190 272>
     <"charge" 2 400 1 3 276 281>
     <"on" 2 5 1 3 272 354>
     <"charge" 2 500 1 3 358 363>
     <"on" 2 6 1 3 354 436>
     <"charge" 2 600 1 3 440 445>
     <"on" 2 7 1 3 436 518>
     <"charge" 2 700 1 3 522 527>
     <"on" 2 8 1 3 518 600>
     <"charge" 2 800 1 3 604 609>
     <"on" 2 9 1 3 600 682>
     <"charge" 2 900 1 3 686 691>
     <"on" 2 10 1 3 682 764>
     <"charge" 2 1000 1 3 768 773>
     <"on" 2 11 1 3 764 846>
     <"charge" 2 1100 1 3 850 855>
     <"on" 2 12 1 3 846 928>
     <"charge" 2 1200 1 3 932 937>
     <"on" 2 13 1 3 928 1010>
     <"charge" 2 1300 1 3 1014 1019>
     <"on" 2 14 1 3 1010 1092>
     <"charge" 2 1400 1 3 1096 1101>
     <"on" 2 15 1 3 1092 1174>
     <"charge" 2 1500 1 3 1178 1183>
     <"on" 2 16 1 3 1174 1256>
     <"charge" 2 1600 1 3 1260 1265>
     <"on" 2 17 1 3 1256 1338>
     <"charge" 2 1700 1 3 1342 1347>
     <"on" 2 18 1 3 1338 1420>
     <"charge" 2 1800 1 3 1424 1429>
     <"on" 2 19 1 3 1420 1440>
     <"on" 3 1 9 4 0 71>
     <"charge" 3 100 9 4 75 80>
     <"on" 3 2 9 4 71 153>
     <"charge" 3 200 9 4 157 162>
     <"on" 3 3 9 4 153 235>
     <"charge" 3 300 9 4 239 244>
     <"on" 3 4 9 4 235 317>
     <"charge" 3 400 9 4 321 326>
     <"on" 3 5 9 4 317 399>
     <"charge" 3 500 9 4 403 408>
     <"on" 3 6 9 4 399 481>
     <"charge" 3 600 9 4 485 490>
     <"on" 3 7 9 4 481 563>
     <"charge" 3 700 9 4 567 572>
     <"on" 3 8 9 4 563 645>
     <"charge" 3 800 9 4 649 654>
     <"on" 3 9 9 4 645 727>
     <"charge" 3 900 9 4 731 736>
     <"on" 3 10 9 4 727 809>
     <"charge" 3 1000 9 4 813 818>
     <"on" 3 11 9 4 809 891>
     <"charge" 3 1100 9 4 895 900>
     <"on" 3 12 9 4 891 973>
     <"charge" 3 1200 9 4 977 982>
     <"on" 3 13 9 4 973 1055>
     <"charge" 3 1300 9 4 1059 1064>
     <"on" 3 14 9 4 1055 1137>
     <"charge" 3 1400 9 4 1141 1146>
     <"on" 3 15 9 4 1137 1219>
     <"charge" 3 1500 9 4 1223 1228>
     <"on" 3 16 9 4 1219 1301>
     <"charge" 3 1600 9 4 1305 1310>
     <"on" 3 17 9 4 1301 1383>
     <"charge" 3 1700 9 4 1387 1392>
     <"on" 3 18 9 4 1383 1440>
     <"on" 4 1 2 8 0 37>
     <"charge" 4 100 2 8 41 46>
     <"on" 4 2 2 8 37 119>
     <"charge" 4 200 2 8 123 128>
     <"on" 4 3 2 8 119 201>
     <"charge" 4 300 2 8 205 210>
     <"on" 4 4 2 8 201 283>
     <"charge" 4 400 2 8 287 292>
     <"on" 4 5 2 8 283 365>
     <"charge" 4 500 2 8 369 374>
     <"on" 4 6 2 8 365 447>
     <"charge" 4 600 2 8 451 456>
     <"on" 4 7 2 8 447 529>
     <"charge" 4 700 2 8 533 538>
     <"on" 4 8 2 8 529 611>
     <"charge" 4 800 2 8 615 620>
     <"on" 4 9 2 8 611 693>
     <"charge" 4 900 2 8 697 702>
     <"on" 4 10 2 8 693 775>
     <"charge" 4 1000 2 8 779 784>
     <"on" 4 11 2 8 775 857>
     <"charge" 4 1100 2 8 861 866>
     <"on" 4 12 2 8 857 939>
     <"charge" 4 1200 2 8 943 948>
     <"on" 4 13 2 8 939 1021>
     <"charge" 4 1300 2 8 1025 1030>
     <"on" 4 14 2 8 1021 1103>
     <"charge" 4 1400 2 8 1107 1112>
     <"on" 4 15 2 8 1103 1185>
     <"charge" 4 1500 2 8 1189 1194>
